,product_image,product_name,product_price,product_discount,product_after_discount,product_rating,service
57,https://media.dekoruma.com/catalogue/NRA-461648.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SHIORI Sofabed 2 Dudukan - Hijau Tua,"Rp8,571,000",30%,"Rp5,999,000",['5'],se-Jabodetabek
58,https://media.dekoruma.com/catalogue/LVN-413293.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Livien Merry Sofa Bed Set Grey (2 Kursi + 1 Sandaran),"Rp4,405,000",21%,"Rp3,436,000",['122'],se-Jawa
59,https://media.dekoruma.com/catalogue/ANA-436597.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Ananta Mardy Puff Ivory,"Rp600,000",50%,"Rp300,000",['67'],se-Jawa
60,https://media.dekoruma.com/catalogue/NRA-461599.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio PIKO Kursi Goyang - Krem,"Rp1,749,000",31%,"Rp1,199,000",['72'],se-Jabodetabek
61,https://media.dekoruma.com/catalogue/NRA-461643.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio KIMU Sofa Bed,"Rp5,499,000",24%,"Rp4,125,000",['3'],se-Jabodetabek
62,https://media.dekoruma.com/catalogue/NRA-464238.JPG?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NITTA Sofa L Cokelat,"Rp5,294,000",33%,"Rp3,529,000",['22'],se-Jabodetabek
63,https://media.dekoruma.com/catalogue/NRA-461975.JPG?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NOJI Stool dengan Storage - Abu,"Rp213,000",34%,"Rp139,000",['36'],se-Jabodetabek
64,https://media.dekoruma.com/catalogue/NRA-465567.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MIURA Sofa 2 Dudukan,"Rp9,999,000",20%,"Rp7,999,000",[],se-Jabodetabek
65,https://media.dekoruma.com/catalogue/ANA-415412.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Ananta Puff Lufi Lipat Kotak Penyimpanan Cokelat 50x30cm,"Rp410,000",50%,"Rp205,000",['54'],se-Jawa
66,https://media.dekoruma.com/catalogue/NRA-461600.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio PIKO Kursi Goyang - Abu Tua,"Rp1,749,000",31%,"Rp1,199,000",['68'],se-Jabodetabek
67,https://media.dekoruma.com/catalogue/NRA-462548.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HASHI Sofa Recliner 2 Dudukan,"Rp9,999,000",27%,"Rp7,299,000",['1'],se-Jabodetabek
68,https://media.dekoruma.com/catalogue/NRA-461976.JPG?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NOJI Stool dengan Storage - Krem,"Rp213,000",30%,"Rp149,000",['28'],se-Jabodetabek
69,https://media.dekoruma.com/catalogue/HGO-331623.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Best Ottoman Ottoman Kursi Kualitas Premium Abu,,,"Rp499,000",['422'],se-Jabodetabek
70,https://media.dekoruma.com/catalogue/OLY-455326.png?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Olympic Procella Sofa Tamu - Sofa Minimalis - Sofa Set - Sofa Pillo Canvas 1 SEATER - GREY,"Rp2,235,000",41%,"Rp1,302,000",[],se-Jawa
71,https://media.dekoruma.com/catalogue/NRA-461982.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SHIGI Bench dengan Storage - Krem,"Rp339,000",35%,"Rp219,000",['24'],se-Jabodetabek
